Epic ID,Epic Title,Persona,User Story ID,User Story Title,Description,Acceptance Criteria,Priority,Status,Story Points,Roadmap,
E001,Master Profile Creation & Auto-Merge,Marcus / Priya / Emma,US001,Upload single or multiple CVs,"As a user, I want to upload 1–4 CVs so that the system can extract and consolidate my career data into a Master Profile.","- User can drag-drop or select files (PDF, DOCX, JPEG/PNG/TIFF, plain text)
- POST /api/profile/upload accepts multipart/form-data with optional job_id query param
- System detects file format and applies appropriate extraction strategy:
  - PDF with text layer → pymupdf
  - DOCX → python-docx
  - Scanned PDF / images → OCR via CVImageExtractor (MistralVision default, Tesseract opt-in)
  - Plain text → direct parse
- LLM extraction uses JD_AWARE_CV_EXTRACTION_PROMPT (if job_id provided) or GENERIC_CV_EXTRACTION_PROMPT
- CVUploadResponse returned: profile_id, status (DRAFT if completeness < 0.5 or conflicts, else COMPLETE), completeness_score, conflicts[], enrichment_record_id, expires_at
- Upload record created in uploads table: original_filename, content_hash (SHA-256), mime_type, file_path, byte_size, llm_tokens_used, llm_provider
- File stored via StorageProvider abstraction (LocalStorageProvider default, S3 for Cloud)
- 7-day GDPR TTL set on expires_at (enforced by Retention Worker)
- Multiple CVs trigger merge via MergeStrategy (ADR-013)
- Progress indicator shown during parsing
- Success message displays data points extracted and completeness score",High,Backlog,5,,
E001,Master Profile Creation & Auto-Merge,Marcus / Priya / Emma,US002,Smart auto-merge of multiple CVs,"As a user with multiple CV versions, I want the system to automatically accumulate and enrich my Master Profile so it captures my complete career history without losing valuable context.","- System accumulates data from multiple CVs into a single Master Profile (ADR-013)
- Role titles for the same position are accumulated into role_aliases[]
- Responsibility and achievement bullets are unioned and semantically deduplicated
- Skill proficiency is updated to the highest value found
- Company name variants are normalized
- Only truly factual irreconcilable differences (e.g., contradicting start/end dates) are flagged as conflicts
- Master Profile created and displayed to user",High,Backlog,8,,
E001,Master Profile Creation & Auto-Merge,Marcus / Priya / Emma,US003,Conflict detection and flagging,"As the system, I need to detect and flag conflicts in merged CV data so users can resolve them in context later","- Conflicts stored in master_profile.conflicts (JSONB)
- Each conflict includes: field, conflicting values, source CVs, priority level
- Conflicts marked as 'flagged' or 'deferred'
- Conflict resolution strategy stored for later use",Medium,Backlog,5,,
E001,Master Profile Creation & Auto-Merge,Priya,US004,Cultural pre-scan for international CVs,"As an international candidate, I want the system to detect my source market (India, US, Brazil) and flag cultural adaptation items so I know what needs to change for DACH","- System detects source market based on CV structure, content patterns, metadata
- Cultural flags identified: PII to remove, photo recommendation, format restructuring, credential mapping, regulatory framework mapping
- Auto-resolves non-controversial items (e.g., removes declaration, strips father's name)
- Flags items requiring user input
- Cultural Readiness Score calculated and displayed",High,Backlog,8,,
E002,Job Description Analysis & Gap Detection,Marcus / Priya / Emma,US005,Parse job description from URL or text,"As a user, I want to input a job description (URL or paste text) so the system can analyze requirements","- User can paste JD URL or text
- System scrapes URL if provided (graceful fallback to manual paste if scraping fails)
- JD text extracted and stored
- Analysis initiated automatically",High,Backlog,3,,
E002,Job Description Analysis & Gap Detection,Marcus / Priya / Emma,US006,Analyze JD for required skills and experience,"As the system, I need to extract key requirements from the JD so I can identify gaps in the user's profile","- System identifies required skills, certifications, experience levels
- Regulatory frameworks detected (e.g., GAMP 5, 21 CFR Part 11, EU GMP)
- Team size/leadership requirements extracted
- Years of experience requirements identified
- Match score calculated against Master Profile (0-100%)",High,Backlog,5,,
E002,Job Description Analysis & Gap Detection,Marcus / Priya / Emma,US007,Detect regulatory framework mapping needs,"As an international candidate, I want the system to identify how my international regulatory experience maps to EU/DACH frameworks so I can position it correctly","- System detects source regulatory frameworks (ANVISA, FDA, WHO-GMP, CDSCO, etc.)
- Maps to DACH/EU equivalents (EU GMP, EMA, etc.)
- Confidence level assigned to each mapping
- Flagged for user confirmation if confidence <75%
- Mapping stored for CV generation",Medium,Backlog,5,,
E002,Job Description Analysis & Gap Detection,Marcus / Priya / Emma,US008,Generate interview questions for gaps (Full Interview Mode),"As the system, I need to generate a comprehensive sequence of interview questions that help users fill knowledge gaps and resolve conflicts for the target role, prioritized by information value.","- Interview operates in two modes:
  - MODE A (Targeted): For users with existing profiles (completeness ≥ 0.3). Soft target 3–8 questions, hard ceiling 12.
  - MODE B (Guided): For new users (completeness < 0.3). Soft target 10–15 questions, hard ceiling 20.
- Gap categories classified as:
  - Category A: Confirmed matches (no question generated)
  - Category B: Inferred matches requiring confirmation (e.g., 'Your CV mentions MES — did you work with batch record validation?')
  - Category C: Gaps or unstated experience (open-ended exploratory questions)
- Question order prioritizes information gain:
  - Category C (exploratory) questions first — capture unstated experience with highest information value
  - Category B (confirmation) questions second — validate inferred experience
- Each question includes context (why this matters for the role)
- Questions are open-ended (free text, 2–3 sentences expected)
- Estimated time shown upfront (1.2 min per question)
- Interview state persisted; user can resume from interruption",Medium,Backlog,5,,
E003,Unified Interview (Gaps + Conflicts + Cultural),Marcus / Priya / Emma,US009b,Generate interview questions for gaps (Full Interview Mode),"As the system, I need to generate a comprehensive sequence of interview questions that help users fill knowledge gaps and resolve conflicts for the target role, prioritized by information value.","- Interview operates in two modes:
  - MODE A (Targeted): For users with existing profiles (completeness ≥ 0.3). Soft target 3–8 questions, hard ceiling 12.
  - MODE B (Guided): For new users (completeness < 0.3). Soft target 10–15 questions, hard ceiling 20.
- Gap categories classified as:
  - Category A: Confirmed matches (no question generated)
  - Category B: Inferred matches requiring confirmation (e.g., 'Your CV mentions MES — did you work with batch record validation?')
  - Category C: Gaps or unstated experience (open-ended exploratory questions)
- Question order prioritizes information gain:
  - Category C (exploratory) questions first — capture unstated experience with highest information value
  - Category B (confirmation) questions second — validate inferred experience
- Each question includes context (why this matters for the role)
- Questions are open-ended (free text, 2–3 sentences expected)
- Estimated time shown upfront (1.2 min per question)
- Interview state persisted; user can resume from interruption",High,Backlog,8
E003,Unified Interview (Gaps + Conflicts + Cultural),Marcus / Priya / Emma,US009,Generate interview questions for gaps,"As the system, I need to surface job-relevant CV conflicts as strategic questions during the interview so users can resolve them in context while tailoring for the target role.","- Interview orchestrator identifies job-relevant conflicts from `master_profile.conflicts`
- For each relevant conflict, generates a strategic question framed as an optimization opportunity (e.g., 'Which title better reflects your management responsibilities for this role?')
- Questions include: conflicting values, source CVs, and strategic context tied to the target JD
- User provides explicit answer (selects preferred value or provides clarification)
- ResponseParser extracts user intent and returns a `ConflictResolution` object
- ProfileUpdater calls `POST /api/profile/conflicts/{conflict_id}/resolve` endpoint with extracted intent
- Resolution logged with `source: interview_session_id` in the `EnrichmentRecord` for full audit trail
- Non-job-relevant conflicts remain unresolved in `pending_conflicts` (not surfaced, deferred to future applications)
- User can view all pending conflicts anytime via `GET /api/profile`",High,Backlog,8,,
